
======================================================================
[opendde-abag] docking 1ahw_abag.yaml (200 steps, 5 samples)
======================================================================
20:48:39  [tt-quietbox:tt3] loading model…
20:48:44  [tt-quietbox:tt3] 1ahw_abag
20:55:23  [tt-quietbox:tt3]   diffusion 74/200
20:55:23  [tt-quietbox:tt3]   diffusion 75/200
20:55:23  [tt-quietbox:tt3]   diffusion 76/200
20:55:24  [tt-quietbox:tt3]   diffusion 77/200
20:55:24  [tt-quietbox:tt3]   diffusion 78/200
20:55:24  [tt-quietbox:tt3]   diffusion 79/200
20:55:25  [tt-quietbox:tt3]   diffusion 80/200
20:55:25  [tt-quietbox:tt3]   diffusion 81/200
20:55:26  [tt-quietbox:tt3]   diffusion 82/200
20:55:26  [tt-quietbox:tt3]   diffusion 83/200
20:55:26  [tt-quietbox:tt3]   diffusion 84/200
20:55:27  [tt-quietbox:tt3]   diffusion 85/200
20:55:27  [tt-quietbox:tt3]   diffusion 86/200
20:55:28  [tt-quietbox:tt3]   diffusion 87/200
20:55:28  [tt-quietbox:tt3]   diffusion 88/200
20:55:28  [tt-quietbox:tt3]   diffusion 89/200
20:55:29  [tt-quietbox:tt3]   diffusion 90/200
20:55:29  [tt-quietbox:tt3]   diffusion 91/200
20:55:30  [tt-quietbox:tt3]   diffusion 92/200
20:55:30  [tt-quietbox:tt3]   diffusion 93/200
20:55:30  [tt-quietbox:tt3]   diffusion 94/200
20:55:31  [tt-quietbox:tt3]   diffusion 95/200
20:55:31  [tt-quietbox:tt3]   diffusion 96/200
20:55:31  [tt-quietbox:tt3]   diffusion 97/200
20:55:32  [tt-quietbox:tt3]   diffusion 98/200
20:55:32  [tt-quietbox:tt3]   diffusion 99/200
20:55:33  [tt-quietbox:tt3]   diffusion 100/200
20:55:33  [tt-quietbox:tt3]   diffusion 101/200
20:55:33  [tt-quietbox:tt3]   diffusion 102/200
20:55:34  [tt-quietbox:tt3]   diffusion 103/200
20:55:34  [tt-quietbox:tt3]   diffusion 104/200
20:55:35  [tt-quietbox:tt3]   diffusion 105/200
20:55:35  [tt-quietbox:tt3]   diffusion 106/200
20:55:36  [tt-quietbox:tt3]   diffusion 107/200
20:55:36  [tt-quietbox:tt3]   diffusion 108/200
20:55:36  [tt-quietbox:tt3]   diffusion 109/200
20:55:37  [tt-quietbox:tt3]   diffusion 110/200
20:55:37  [tt-quietbox:tt3]   diffusion 111/200
20:55:37  [tt-quietbox:tt3]   diffusion 112/200
20:55:38  [tt-quietbox:tt3]   diffusion 113/200
20:55:38  [tt-quietbox:tt3]   diffusion 114/200
20:55:39  [tt-quietbox:tt3]   diffusion 115/200
20:55:39  [tt-quietbox:tt3]   diffusion 116/200
20:55:39  [tt-quietbox:tt3]   diffusion 117/200
20:55:40  [tt-quietbox:tt3]   diffusion 118/200
20:55:40  [tt-quietbox:tt3]   diffusion 119/200
20:55:40  [tt-quietbox:tt3]   diffusion 120/200
20:55:41  [tt-quietbox:tt3]   diffusion 121/200
20:55:41  [tt-quietbox:tt3]   diffusion 122/200
20:55:42  [tt-quietbox:tt3]   diffusion 123/200
20:55:42  [tt-quietbox:tt3]   diffusion 124/200
20:55:42  [tt-quietbox:tt3]   diffusion 125/200
20:55:43  [tt-quietbox:tt3]   diffusion 126/200
20:55:43  [tt-quietbox:tt3]   diffusion 127/200
20:55:44  [tt-quietbox:tt3]   diffusion 128/200
20:55:44  [tt-quietbox:tt3]   diffusion 129/200
20:55:44  [tt-quietbox:tt3]   diffusion 130/200
20:55:45  [tt-quietbox:tt3]   diffusion 131/200
20:55:45  [tt-quietbox:tt3]   diffusion 132/200
