
======================================================================
[opendde-abag] docking 1ahw_abag.yaml (200 steps, 5 samples)
======================================================================
19:10:01  [tt-quietbox:tt3] loading model…
19:10:07  [tt-quietbox:tt3] 1ahw_abag
19:17:10  [tt-quietbox:tt3]   diffusion 143/200
19:17:10  [tt-quietbox:tt3]   diffusion 144/200
19:17:10  [tt-quietbox:tt3]   diffusion 145/200
19:17:11  [tt-quietbox:tt3]   diffusion 146/200
19:17:11  [tt-quietbox:tt3]   diffusion 147/200
19:17:12  [tt-quietbox:tt3]   diffusion 148/200
19:17:12  [tt-quietbox:tt3]   diffusion 149/200
19:17:13  [tt-quietbox:tt3]   diffusion 150/200
19:17:13  [tt-quietbox:tt3]   diffusion 151/200
19:17:13  [tt-quietbox:tt3]   diffusion 152/200
19:17:14  [tt-quietbox:tt3]   diffusion 153/200
19:17:14  [tt-quietbox:tt3]   diffusion 154/200
19:17:15  [tt-quietbox:tt3]   diffusion 155/200
19:17:15  [tt-quietbox:tt3]   diffusion 156/200
19:17:16  [tt-quietbox:tt3]   diffusion 157/200
19:17:16  [tt-quietbox:tt3]   diffusion 158/200
19:17:16  [tt-quietbox:tt3]   diffusion 159/200
19:17:17  [tt-quietbox:tt3]   diffusion 160/200
19:17:17  [tt-quietbox:tt3]   diffusion 161/200
19:17:18  [tt-quietbox:tt3]   diffusion 162/200
19:17:18  [tt-quietbox:tt3]   diffusion 163/200
19:17:19  [tt-quietbox:tt3]   diffusion 164/200
19:17:19  [tt-quietbox:tt3]   diffusion 165/200
19:17:19  [tt-quietbox:tt3]   diffusion 166/200
19:17:20  [tt-quietbox:tt3]   diffusion 167/200
19:17:20  [tt-quietbox:tt3]   diffusion 168/200
19:17:21  [tt-quietbox:tt3]   diffusion 169/200
19:17:21  [tt-quietbox:tt3]   diffusion 170/200
19:17:22  [tt-quietbox:tt3]   diffusion 171/200
19:17:22  [tt-quietbox:tt3]   diffusion 172/200
19:17:22  [tt-quietbox:tt3]   diffusion 173/200
19:17:23  [tt-quietbox:tt3]   diffusion 174/200
19:17:23  [tt-quietbox:tt3]   diffusion 175/200
19:17:24  [tt-quietbox:tt3]   diffusion 176/200
19:17:24  [tt-quietbox:tt3]   diffusion 177/200
19:17:25  [tt-quietbox:tt3]   diffusion 178/200
19:17:25  [tt-quietbox:tt3]   diffusion 179/200
19:17:25  [tt-quietbox:tt3]   diffusion 180/200
19:17:26  [tt-quietbox:tt3]   diffusion 181/200
19:17:26  [tt-quietbox:tt3]   diffusion 182/200
