
======================================================================
[protenix-v2] folding prot.yaml (200 steps, 5 samples)
======================================================================
19:08:17  [tt-quietbox:tt3] loading model…
19:08:21  [tt-quietbox:tt3] prot
19:08:44  [tt-quietbox:tt3]   diffusion 114/200
19:08:44  [tt-quietbox:tt3]   diffusion 115/200
19:08:44  [tt-quietbox:tt3]   diffusion 116/200
19:08:44  [tt-quietbox:tt3]   diffusion 117/200
19:08:44  [tt-quietbox:tt3]   diffusion 118/200
19:08:44  [tt-quietbox:tt3]   diffusion 119/200
19:08:44  [tt-quietbox:tt3]   diffusion 120/200
19:08:44  [tt-quietbox:tt3]   diffusion 121/200
19:08:45  [tt-quietbox:tt3]   diffusion 122/200
19:08:45  [tt-quietbox:tt3]   diffusion 123/200
19:08:45  [tt-quietbox:tt3]   diffusion 124/200
19:08:45  [tt-quietbox:tt3]   diffusion 125/200
19:08:45  [tt-quietbox:tt3]   diffusion 126/200
19:08:45  [tt-quietbox:tt3]   diffusion 127/200
19:08:45  [tt-quietbox:tt3]   diffusion 128/200
19:08:45  [tt-quietbox:tt3]   diffusion 129/200
19:08:45  [tt-quietbox:tt3]   diffusion 130/200
19:08:45  [tt-quietbox:tt3]   diffusion 131/200
19:08:46  [tt-quietbox:tt3]   diffusion 132/200
19:08:46  [tt-quietbox:tt3]   diffusion 133/200
19:08:46  [tt-quietbox:tt3]   diffusion 134/200
19:08:46  [tt-quietbox:tt3]   diffusion 135/200
19:08:46  [tt-quietbox:tt3]   diffusion 136/200
19:08:46  [tt-quietbox:tt3]   diffusion 137/200
19:08:46  [tt-quietbox:tt3]   diffusion 138/200
19:08:46  [tt-quietbox:tt3]   diffusion 139/200
19:08:47  [tt-quietbox:tt3]   diffusion 140/200
19:08:47  [tt-quietbox:tt3]   diffusion 141/200
19:08:47  [tt-quietbox:tt3]   diffusion 142/200
19:08:47  [tt-quietbox:tt3]   diffusion 143/200
19:08:47  [tt-quietbox:tt3]   diffusion 144/200
19:08:47  [tt-quietbox:tt3]   diffusion 145/200
19:08:47  [tt-quietbox:tt3]   diffusion 146/200
19:08:47  [tt-quietbox:tt3]   diffusion 147/200
19:08:48  [tt-quietbox:tt3]   diffusion 148/200
19:08:48  [tt-quietbox:tt3]   diffusion 149/200
19:08:48  [tt-quietbox:tt3]   diffusion 150/200
19:08:48  [tt-quietbox:tt3]   diffusion 151/200
19:08:48  [tt-quietbox:tt3]   diffusion 152/200
19:08:48  [tt-quietbox:tt3]   diffusion 153/200
19:08:48  [tt-quietbox:tt3]   diffusion 154/200
19:08:48  [tt-quietbox:tt3]   diffusion 155/200
19:08:49  [tt-quietbox:tt3]   diffusion 156/200
19:08:49  [tt-quietbox:tt3]   diffusion 157/200
19:08:49  [tt-quietbox:tt3]   diffusion 158/200
19:08:49  [tt-quietbox:tt3]   diffusion 159/200
19:08:49  [tt-quietbox:tt3]   diffusion 160/200
19:08:49  [tt-quietbox:tt3]   diffusion 161/200
19:08:49  [tt-quietbox:tt3]   diffusion 162/200
19:08:49  [tt-quietbox:tt3]   diffusion 163/200
19:08:49  [tt-quietbox:tt3]   diffusion 164/200
19:08:49  [tt-quietbox:tt3]   diffusion 165/200
19:08:50  [tt-quietbox:tt3]   diffusion 166/200
19:08:50  [tt-quietbox:tt3]   diffusion 167/200
19:08:50  [tt-quietbox:tt3]   diffusion 168/200
19:08:50  [tt-quietbox:tt3]   diffusion 169/200
