
======================================================================
[opendde] folding prot.yaml (200 steps, 5 samples)
======================================================================
19:09:05  [tt-quietbox:tt3] loading model…
19:09:11  [tt-quietbox:tt3] prot
19:09:43  [tt-quietbox:tt3]   diffusion 154/200
19:09:43  [tt-quietbox:tt3]   diffusion 155/200
19:09:43  [tt-quietbox:tt3]   diffusion 156/200
19:09:43  [tt-quietbox:tt3]   diffusion 157/200
19:09:43  [tt-quietbox:tt3]   diffusion 158/200
19:09:44  [tt-quietbox:tt3]   diffusion 159/200
19:09:44  [tt-quietbox:tt3]   diffusion 160/200
19:09:44  [tt-quietbox:tt3]   diffusion 161/200
19:09:44  [tt-quietbox:tt3]   diffusion 162/200
19:09:44  [tt-quietbox:tt3]   diffusion 163/200
19:09:44  [tt-quietbox:tt3]   diffusion 164/200
19:09:44  [tt-quietbox:tt3]   diffusion 165/200
19:09:44  [tt-quietbox:tt3]   diffusion 166/200
19:09:44  [tt-quietbox:tt3]   diffusion 167/200
19:09:44  [tt-quietbox:tt3]   diffusion 168/200
19:09:45  [tt-quietbox:tt3]   diffusion 169/200
19:09:45  [tt-quietbox:tt3]   diffusion 170/200
19:09:45  [tt-quietbox:tt3]   diffusion 171/200
19:09:45  [tt-quietbox:tt3]   diffusion 172/200
19:09:45  [tt-quietbox:tt3]   diffusion 173/200
19:09:45  [tt-quietbox:tt3]   diffusion 174/200
19:09:45  [tt-quietbox:tt3]   diffusion 175/200
19:09:45  [tt-quietbox:tt3]   diffusion 176/200
19:09:45  [tt-quietbox:tt3]   diffusion 177/200
19:09:46  [tt-quietbox:tt3]   diffusion 178/200
19:09:46  [tt-quietbox:tt3]   diffusion 179/200
19:09:46  [tt-quietbox:tt3]   diffusion 180/200
19:09:46  [tt-quietbox:tt3]   diffusion 181/200
19:09:46  [tt-quietbox:tt3]   diffusion 182/200
19:09:46  [tt-quietbox:tt3]   diffusion 183/200
19:09:46  [tt-quietbox:tt3]   diffusion 184/200
19:09:46  [tt-quietbox:tt3]   diffusion 185/200
19:09:46  [tt-quietbox:tt3]   diffusion 186/200
19:09:46  [tt-quietbox:tt3]   diffusion 187/200
19:09:47  [tt-quietbox:tt3]   diffusion 188/200
19:09:47  [tt-quietbox:tt3]   diffusion 189/200
19:09:47  [tt-quietbox:tt3]   diffusion 190/200
19:09:47  [tt-quietbox:tt3]   diffusion 191/200
19:09:47  [tt-quietbox:tt3]   diffusion 192/200
19:09:47  [tt-quietbox:tt3]   diffusion 193/200
19:09:47  [tt-quietbox:tt3]   diffusion 194/200
19:09:47  [tt-quietbox:tt3]   diffusion 195/200
19:09:47  [tt-quietbox:tt3]   diffusion 196/200
19:09:47  [tt-quietbox:tt3]   diffusion 197/200
19:09:48  [tt-quietbox:tt3]   diffusion 198/200
19:09:48  [tt-quietbox:tt3]   diffusion 199/200
19:09:49  [tt-quietbox:tt3]   saving
19:09:49  [tt-quietbox:tt3] ✓ prot — 38.0s

Done: 1 ok, 0 failed — /home/ttuser/.coworker/wt/perfwar-qb1-rebaseline-and-land/arms/L0/opendde_results_prot/results.json
Predicted chains: [('A', 117)]
Ground truth chains: [('A', 117)]

Best chain matching (117 common residues of 117 predicted / 117 ground truth):
  A -> A (117 common residues)

==================================================
