
======================================================================
[protenix-v2] folding prot.yaml (200 steps, 5 samples)
======================================================================
20:46:30  [tt-quietbox:tt3] loading model…
20:46:35  [tt-quietbox:tt3] prot
20:47:22  [tt-quietbox:tt3]   diffusion 184/200
20:47:22  [tt-quietbox:tt3]   diffusion 185/200
20:47:22  [tt-quietbox:tt3]   diffusion 186/200
20:47:22  [tt-quietbox:tt3]   diffusion 187/200
20:47:22  [tt-quietbox:tt3]   diffusion 188/200
20:47:22  [tt-quietbox:tt3]   diffusion 189/200
20:47:22  [tt-quietbox:tt3]   diffusion 190/200
20:47:22  [tt-quietbox:tt3]   diffusion 191/200
20:47:22  [tt-quietbox:tt3]   diffusion 192/200
20:47:23  [tt-quietbox:tt3]   diffusion 193/200
20:47:23  [tt-quietbox:tt3]   diffusion 194/200
20:47:23  [tt-quietbox:tt3]   diffusion 195/200
20:47:23  [tt-quietbox:tt3]   diffusion 196/200
20:47:23  [tt-quietbox:tt3]   diffusion 197/200
20:47:23  [tt-quietbox:tt3]   diffusion 198/200
20:47:23  [tt-quietbox:tt3]   diffusion 199/200
20:47:24  [tt-quietbox:tt3]   saving
20:47:24  [tt-quietbox:tt3] ✓ prot — 48.7s

Done: 1 ok, 0 failed — /home/ttuser/.coworker/wt/perfwar-qb1-rebaseline-and-land/arms/L4/protenix_results_prot/results.json
Predicted chains: [('A', 117)]
Ground truth chains: [('A', 117)]

Best chain matching (117 common residues of 117 predicted / 117 ground truth):
  A -> A (117 common residues)

==================================================
Protein: prot, Model: 0
RMSD: 1.4007 Å   TM-score: 0.9506
==================================================

Predicted chains: [('A', 117)]
Ground truth chains: [('A', 117)]

Best chain matching (117 common residues of 117 predicted / 117 ground truth):
  A -> A (117 common residues)

==================================================
Protein: prot, Model: 1
RMSD: 1.4256 Å   TM-score: 0.9483
==================================================

Predicted chains: [('A', 117)]
Ground truth chains: [('A', 117)]

Best chain matching (117 common residues of 117 predicted / 117 ground truth):
  A -> A (117 common residues)

==================================================
Protein: prot, Model: 2
RMSD: 1.3736 Å   TM-score: 0.9519
==================================================

Predicted chains: [('A', 117)]
Ground truth chains: [('A', 117)]

Best chain matching (117 common residues of 117 predicted / 117 ground truth):
  A -> A (117 common residues)

==================================================
Protein: prot, Model: 3
RMSD: 1.4114 Å   TM-score: 0.9488
==================================================

Predicted chains: [('A', 117)]
Ground truth chains: [('A', 117)]

Best chain matching (117 common residues of 117 predicted / 117 ground truth):
  A -> A (117 common residues)

==================================================
Protein: prot, Model: 4
RMSD: 1.2856 Å   TM-score: 0.9583
==================================================

############################################################
GROUND-TRUTH ACCURACY — prot (5 samples)
  model 0: RMSD  1.401 Å   TM 0.951 <- best confidence (gated)
  model 1: RMSD  1.426 Å   TM 0.948
  model 2: RMSD  1.374 Å   TM 0.952
  model 3: RMSD  1.411 Å   TM 0.949
  model 4: RMSD  1.286 Å   TM 0.958
  oracle-best sample: model 4 RMSD 1.286 Å TM 0.958
############################################################


##############################################################################
RELEASE GATE — prot.yaml (prot), 200 steps / 5 samples, seed 0
##############################################################################
model            RMSD (A)      TM           floor     wall  result
protenix-v2         1.401   0.951     <=6.0/>=0.5      64s  PASS
##############################################################################
GATE PASS — all models cleared parse + ground-truth floor
