
======================================================================
[opendde-abag] docking 1ahw_abag.yaml (200 steps, 5 samples)
======================================================================
00:28:01  [tt-quietbox:tt1] loading model…
00:28:07  [tt-quietbox:tt1] 1ahw_abag
00:33:53  [tt-quietbox:tt1]   diffusion 108/200
00:33:53  [tt-quietbox:tt1]   diffusion 109/200
00:33:54  [tt-quietbox:tt1]   diffusion 110/200
00:33:54  [tt-quietbox:tt1]   diffusion 111/200
00:33:54  [tt-quietbox:tt1]   diffusion 112/200
00:33:55  [tt-quietbox:tt1]   diffusion 113/200
00:33:55  [tt-quietbox:tt1]   diffusion 114/200
00:33:55  [tt-quietbox:tt1]   diffusion 115/200
00:33:56  [tt-quietbox:tt1]   diffusion 116/200
00:33:56  [tt-quietbox:tt1]   diffusion 117/200
00:33:56  [tt-quietbox:tt1]   diffusion 118/200
00:33:57  [tt-quietbox:tt1]   diffusion 119/200
00:33:57  [tt-quietbox:tt1]   diffusion 120/200
00:33:57  [tt-quietbox:tt1]   diffusion 121/200
00:33:58  [tt-quietbox:tt1]   diffusion 122/200
00:33:58  [tt-quietbox:tt1]   diffusion 123/200
00:33:58  [tt-quietbox:tt1]   diffusion 124/200
00:33:59  [tt-quietbox:tt1]   diffusion 125/200
00:33:59  [tt-quietbox:tt1]   diffusion 126/200
00:33:59  [tt-quietbox:tt1]   diffusion 127/200
00:34:00  [tt-quietbox:tt1]   diffusion 128/200
00:34:00  [tt-quietbox:tt1]   diffusion 129/200
00:34:00  [tt-quietbox:tt1]   diffusion 130/200
00:34:01  [tt-quietbox:tt1]   diffusion 131/200
00:34:01  [tt-quietbox:tt1]   diffusion 132/200
00:34:01  [tt-quietbox:tt1]   diffusion 133/200
00:34:02  [tt-quietbox:tt1]   diffusion 134/200
00:34:02  [tt-quietbox:tt1]   diffusion 135/200
00:34:02  [tt-quietbox:tt1]   diffusion 136/200
00:34:03  [tt-quietbox:tt1]   diffusion 137/200
00:34:03  [tt-quietbox:tt1]   diffusion 138/200
00:34:03  [tt-quietbox:tt1]   diffusion 139/200
00:34:04  [tt-quietbox:tt1]   diffusion 140/200
00:34:04  [tt-quietbox:tt1]   diffusion 141/200
00:34:05  [tt-quietbox:tt1]   diffusion 142/200
00:34:05  [tt-quietbox:tt1]   diffusion 143/200
00:34:06  [tt-quietbox:tt1]   diffusion 144/200
00:34:06  [tt-quietbox:tt1]   diffusion 145/200
00:34:06  [tt-quietbox:tt1]   diffusion 146/200
00:34:07  [tt-quietbox:tt1]   diffusion 147/200
00:34:07  [tt-quietbox:tt1]   diffusion 148/200
00:34:07  [tt-quietbox:tt1]   diffusion 149/200
00:34:08  [tt-quietbox:tt1]   diffusion 150/200
00:34:08  [tt-quietbox:tt1]   diffusion 151/200
00:34:08  [tt-quietbox:tt1]   diffusion 152/200
00:34:09  [tt-quietbox:tt1]   diffusion 153/200
00:34:09  [tt-quietbox:tt1]   diffusion 154/200
00:34:09  [tt-quietbox:tt1]   diffusion 155/200
00:34:10  [tt-quietbox:tt1]   diffusion 156/200
00:34:10  [tt-quietbox:tt1]   diffusion 157/200
00:34:10  [tt-quietbox:tt1]   diffusion 158/200
00:34:11  [tt-quietbox:tt1]   diffusion 159/200
00:34:11  [tt-quietbox:tt1]   diffusion 160/200
00:34:11  [tt-quietbox:tt1]   diffusion 161/200
00:34:11  [tt-quietbox:tt1]   diffusion 162/200
00:34:12  [tt-quietbox:tt1]   diffusion 163/200
00:34:12  [tt-quietbox:tt1]   diffusion 164/200
00:34:12  [tt-quietbox:tt1]   diffusion 165/200
00:34:13  [tt-quietbox:tt1]   diffusion 166/200
00:34:13  [tt-quietbox:tt1]   diffusion 167/200
00:34:14  [tt-quietbox:tt1]   diffusion 168/200
00:34:14  [tt-quietbox:tt1]   diffusion 169/200
00:34:14  [tt-quietbox:tt1]   diffusion 170/200
00:34:15  [tt-quietbox:tt1]   diffusion 171/200
00:34:15  [tt-quietbox:tt1]   diffusion 172/200
00:34:15  [tt-quietbox:tt1]   diffusion 173/200
00:34:16  [tt-quietbox:tt1]   diffusion 174/200
00:34:16  [tt-quietbox:tt1]   diffusion 175/200
00:34:16  [tt-quietbox:tt1]   diffusion 176/200
00:34:17  [tt-quietbox:tt1]   diffusion 177/200
00:34:17  [tt-quietbox:tt1]   diffusion 178/200
00:34:17  [tt-quietbox:tt1]   diffusion 179/200
00:34:18  [tt-quietbox:tt1]   diffusion 180/200
00:34:18  [tt-quietbox:tt1]   diffusion 181/200
00:34:18  [tt-quietbox:tt1]   diffusion 182/200
00:34:19  [tt-quietbox:tt1]   diffusion 183/200
00:34:19  [tt-quietbox:tt1]   diffusion 184/200
00:34:19  [tt-quietbox:tt1]   diffusion 185/200
00:34:20  [tt-quietbox:tt1]   diffusion 186/200
00:34:20  [tt-quietbox:tt1]   diffusion 187/200
00:34:20  [tt-quietbox:tt1]   diffusion 188/200
00:34:21  [tt-quietbox:tt1]   diffusion 189/200
00:34:21  [tt-quietbox:tt1]   diffusion 190/200
00:34:21  [tt-quietbox:tt1]   diffusion 191/200
00:34:22  [tt-quietbox:tt1]   diffusion 192/200
00:34:22  [tt-quietbox:tt1]   diffusion 193/200
00:34:22  [tt-quietbox:tt1]   diffusion 194/200
00:34:23  [tt-quietbox:tt1]   diffusion 195/200
00:34:23  [tt-quietbox:tt1]   diffusion 196/200
00:34:23  [tt-quietbox:tt1]   diffusion 197/200
00:34:24  [tt-quietbox:tt1]   diffusion 198/200
00:34:24  [tt-quietbox:tt1]   diffusion 199/200
00:34:54  [tt-quietbox:tt1]   saving
00:34:54  [tt-quietbox:tt1] ✓ 1ahw_abag — 407.6s

Done: 1 ok, 0 failed — /home/ttuser/.coworker/wt/perfwar-w6-c2fix-land/opendde_results_1ahw_abag/results.json

##############################################################################
RELEASE GATE — 1ahw_abag.yaml (opendde-abag), 200 steps / 5 samples, seed 0
##############################################################################
model            global DockQ  mean fnat     floor     wall  result
opendde-abag            0.829      0.922     >=0.5     422s  PASS
##############################################################################
GATE PASS — opendde-abag cleared parse + DockQ floor
