generator,threshold,N,metric,ranker,median_rank,rank_lo,rank_hi,metric_value,ci_lo,ci_hi
protenix-v2,0.23,50,gap_recovered,iptm,3.5,2.5,5.5,0.15062570343844728,0.014519623182066529,0.30192093897303834
protenix-v2,0.23,50,gap_recovered,ptm,6.0,4.0,7.0,0.0737755929340189,-0.047591254400592906,0.2061510477003434
protenix-v2,0.23,50,gap_recovered,ranking_score,3.5,2.5,5.5,0.15062570343844728,0.014519623182066529,0.30192093897303834
protenix-v2,0.23,50,gap_recovered,complex_plddt,10.0,9.0,10.0,-0.3438368639453668,-0.5217783610179989,-0.19016655531646873
protenix-v2,0.23,50,gap_recovered,pdockq2,2.0,1.0,6.5,0.17625478074069306,0.016561275438977847,0.33484170764906934
protenix-v2,0.23,50,gap_recovered,ipsae,8.0,8.0,9.0,-0.1546523595766078,-0.3044787751774646,-0.014515835968552573
protenix-v2,0.23,50,gap_recovered,anticonf,5.0,3.0,7.0,0.09877603607715592,-0.035974204576936133,0.23837210404011633
protenix-v2,0.23,50,gap_recovered,pss,6.0,2.0,7.0,0.08519260932393573,-0.03721574447205536,0.21768644543809168
protenix-v2,0.23,50,gap_recovered,deeprank_ab,1.0,1.0,2.0,0.3063997924767377,0.15325784025400094,0.46871330109174086
protenix-v2,0.23,50,gap_recovered,abag_rank,9.0,8.0,10.0,-0.15952454091350568,-0.31819076988119704,-0.011310164243479281
protenix-v2,0.23,50,ranked_success,iptm,3.5,2.5,5.5,0.44783913043478263,0.37267080745341613,0.5279503105590062
protenix-v2,0.23,50,ranked_success,ptm,6.0,4.0,7.0,0.4292472049689441,0.35403726708074534,0.5093167701863354
protenix-v2,0.23,50,ranked_success,ranking_score,3.5,2.5,5.5,0.44783913043478263,0.37267080745341613,0.5279503105590062
protenix-v2,0.23,50,ranked_success,complex_plddt,10.0,9.0,10.0,0.32947018633540376,0.2608695652173913,0.40372670807453415
protenix-v2,0.23,50,ranked_success,pdockq2,2.0,1.0,6.5,0.45415962732919263,0.37888198757763975,0.5279503105590062
protenix-v2,0.23,50,ranked_success,ipsae,8.0,8.0,9.0,0.3747686024844721,0.3040054347826087,0.44906909937888195
protenix-v2,0.23,50,ranked_success,anticonf,5.0,3.0,7.0,0.43530372670807455,0.36024844720496896,0.515527950310559
protenix-v2,0.23,50,ranked_success,pss,6.0,2.0,7.0,0.4319796335403727,0.3570155279503106,0.5082927018633541
