generator,threshold,N,comparison,mean,lo,hi,significant
protenix-v2,0.8,50,deeprank_ab - iptm,0.1602394943548044,-0.10669868090180169,0.45528871855755276,False
boltz2,0.23,5,iptm - ranking_score,-0.15001033043205303,-0.2477572137078775,-0.04974500847715308,True
boltz2,0.23,5,ptm - ranking_score,-0.20111093415928763,-0.3033716561728193,-0.09835038902901853,True
boltz2,0.23,5,complex_plddt - ranking_score,0.18202514603711267,0.07637900367047568,0.2874186825760063,True
boltz2,0.23,5,pdockq2 - ranking_score,-0.0613572450689759,-0.19331932429195128,0.07902855142622991,False
boltz2,0.23,5,ipsae - ranking_score,-0.15582556863422678,-0.27827011447181726,-0.026698429215436928,True
boltz2,0.23,5,anticonf - ranking_score,-0.10137244913372792,-0.22151988191617777,0.028701641331768828,False
boltz2,0.23,5,pss - ranking_score,0.16109563159346157,-0.0202367356253731,0.3392831124016915,False
boltz2,0.23,5,deeprank_ab - ranking_score,0.11959256179530499,-0.027958649886169203,0.27247542753505843,False
boltz2,0.23,5,abag_rank - ranking_score,-0.08117836028980133,-0.19906790631336954,0.04269091967136229,False
boltz2,0.23,5,deeprank_ab - abag_rank,0.2007709220851063,0.07896132583915012,0.32868742568261516,True
boltz2,0.23,5,deeprank_ab - iptm,0.269602892227358,0.1261170399443573,0.4169658589519524,True
boltz2,0.23,50,iptm - ranking_score,-0.08876159879031802,-0.2247551773960506,0.03297516478360117,False
boltz2,0.23,50,ptm - ranking_score,-0.20734740239559957,-0.3647986813860191,-0.0730305732788067,True
boltz2,0.23,50,complex_plddt - ranking_score,0.23420672474276694,0.09235877009546442,0.3995695575091326,True
boltz2,0.23,50,pdockq2 - ranking_score,0.0008647009722942688,-0.16513377315630534,0.1678457874476171,False
boltz2,0.23,50,ipsae - ranking_score,-0.17742108152917874,-0.3291652782180175,-0.05617957804815318,True
boltz2,0.23,50,anticonf - ranking_score,0.0007924633389530529,-0.14451259028525443,0.14390767000260354,False
boltz2,0.23,50,pss - ranking_score,0.1445957879347916,-0.028110217544578465,0.3229417324273844,False
boltz2,0.23,50,deeprank_ab - ranking_score,0.1784091361254788,0.0,0.38049208366012016,False
boltz2,0.23,50,abag_rank - ranking_score,0.058921555360112156,-0.12202935249267337,0.24652539668308143,False
boltz2,0.23,50,deeprank_ab - abag_rank,0.11948758076536663,0.0,0.26635734364459346,False
boltz2,0.23,50,deeprank_ab - iptm,0.2671707349157968,0.07489200481923716,0.47213145714329957,True
boltz2,0.8,5,iptm - ranking_score,-0.1370293762401282,-0.21548916127567916,-0.055555555555555,True
boltz2,0.8,5,ptm - ranking_score,-0.1533528411155913,-0.22580770776806502,-0.07603577198889026,True
boltz2,0.8,5,complex_plddt - ranking_score,0.1305601811837436,-0.09665301803459611,0.37558153182661747,False
boltz2,0.8,5,pdockq2 - ranking_score,-0.019934982832777212,-0.15936758417272273,0.15616883312633387,False
boltz2,0.8,5,ipsae - ranking_score,-0.25253803971241384,-0.4165507608178791,-0.10416608342665111,True
boltz2,0.8,5,anticonf - ranking_score,-0.06790076134342891,-0.15983285707179296,0.033826244569683875,False
boltz2,0.8,5,pss - ranking_score,0.10473116757996379,-0.22542437349086863,0.44799526193456013,False
boltz2,0.8,5,deeprank_ab - ranking_score,0.186559909408381,-0.11255466136297748,0.5388508164890962,False
boltz2,0.8,5,abag_rank - ranking_score,-0.17149689447101288,-0.4506357377523967,0.12598779882244412,False
boltz2,0.8,5,deeprank_ab - abag_rank,0.3580568038793938,0.16216216216216223,0.5550424772678673,True
boltz2,0.8,5,deeprank_ab - iptm,0.3235892856485092,-0.007519982174857194,0.7078848638670975,False
boltz2,0.8,50,iptm - ranking_score,-0.15060224605546751,-0.5128369704749681,0.0,False
boltz2,0.8,50,ptm - ranking_score,-0.31074181450371424,-0.8522878707113783,0.0,False
boltz2,0.8,50,complex_plddt - ranking_score,0.5132236217719507,-0.15140906955346053,1.5404463468039105,False
boltz2,0.8,50,pdockq2 - ranking_score,0.3478276171483334,-0.24171382821045065,1.244499851588007,False
boltz2,0.8,50,ipsae - ranking_score,-0.15508261864232975,-0.6920415224913492,0.34100596760443275,False
boltz2,0.8,50,anticonf - ranking_score,0.18393519806732936,-0.3273322422258591,0.8958566629339302,False
boltz2,0.8,50,pss - ranking_score,0.3060935192099201,-0.2736246723193042,1.1764805922368942,False
boltz2,0.8,50,deeprank_ab - ranking_score,0.6490143092136261,0.0,1.6514140571688527,False
boltz2,0.8,50,abag_rank - ranking_score,0.6631682318356925,0.0,1.7064967787978371,False
boltz2,0.8,50,deeprank_ab - abag_rank,-0.014153922622066481,-0.526362120088955,0.40955631399317427,False
boltz2,0.8,50,deeprank_ab - iptm,0.7996165552690935,0.0,1.8333715596330271,False
