generator,threshold,N,ranker,oracle,random,ranked,gap_recovered,gap_lo,gap_hi
protenix-v2,0.23,5,ipsae,"(0.4462709627329192, 0.5891933229813663)","(0.340402950310559, 0.47615062111801243)","(0.35509161490683233, 0.49664906832298134)",0.16038922676144432,0.009228142332174942,0.31382755958596303
protenix-v2,0.23,5,anticonf,"(0.4462709627329192, 0.5891933229813663)","(0.340402950310559, 0.47615062111801243)","(0.36561956521739125, 0.5106211180124223)",0.27071859765020323,0.10785047660138045,0.4316133590029023
protenix-v2,0.23,5,pss,"(0.4462709627329192, 0.5891933229813663)","(0.340402950310559, 0.47615062111801243)","(0.36614829192546583, 0.5131987577639752)",0.2834711495214285,0.11697024602823944,0.4473027154771718
protenix-v2,0.23,5,deeprank_ab,"(0.4462709627329192, 0.5891933229813663)","(0.340402950310559, 0.47615062111801243)","(0.38077639751552794, 0.5212732919254658)",0.38725382686581966,0.2483143305544155,0.5194190555564439
protenix-v2,0.23,5,abag_rank,"(0.4462709627329192, 0.5891933229813663)","(0.340402950310559, 0.47615062111801243)","(0.3400931677018633, 0.48127406832298125)",0.027645620931000234,-0.12125829841032473,0.1783304787538679
protenix-v2,0.23,50,iptm,"(0.5714285714285714, 0.7204968944099379)","(0.33813509316770185, 0.4739767080745342)","(0.36645962732919257, 0.5217391304347826)",0.1506257034384473,0.014519623182066317,0.3019209389730384
protenix-v2,0.23,50,ptm,"(0.5714285714285714, 0.7204968944099379)","(0.33813509316770185, 0.4739767080745342)","(0.34782608695652173, 0.5031055900621118)",0.0737755929340189,-0.047591254400592906,0.2061510477003434
protenix-v2,0.23,50,ranking_score,"(0.5714285714285714, 0.7204968944099379)","(0.33813509316770185, 0.4739767080745342)","(0.36645962732919257, 0.5217391304347826)",0.1506257034384473,0.014519623182066317,0.3019209389730384
protenix-v2,0.23,50,complex_plddt,"(0.5714285714285714, 0.7204968944099379)","(0.33813509316770185, 0.4739767080745342)","(0.2546583850931677, 0.39751552795031053)",-0.3438368639453668,-0.5217783610179993,-0.19016655531646873
protenix-v2,0.23,50,pdockq2,"(0.5714285714285714, 0.7204968944099379)","(0.33813509316770185, 0.4739767080745342)","(0.37267080745341613, 0.5279503105590062)",0.17625478074069306,0.016561275438977847,0.33484170764906934
protenix-v2,0.23,50,ipsae,"(0.5714285714285714, 0.7204968944099379)","(0.33813509316770185, 0.4739767080745342)","(0.29872670807453416, 0.44251785714285713)",-0.1546523595766078,-0.3044787751774646,-0.014515835968552573
protenix-v2,0.23,50,anticonf,"(0.5714285714285714, 0.7204968944099379)","(0.33813509316770185, 0.4739767080745342)","(0.35403726708074534, 0.5093167701863354)",0.09877603607715592,-0.03597420457693613,0.23837210404011613
protenix-v2,0.23,50,pss,"(0.5714285714285714, 0.7204968944099379)","(0.33813509316770185, 0.4739767080745342)","(0.3509627329192546, 0.5011513975155278)",0.08519260932393573,-0.03721574447205556,0.21768644543809168
protenix-v2,0.23,50,deeprank_ab,"(0.5714285714285714, 0.7204968944099379)","(0.33813509316770185, 0.4739767080745342)","(0.40372670807453415, 0.5590062111801242)",0.3063997924767377,0.15325784025400097,0.46871330109174086
protenix-v2,0.23,50,abag_rank,"(0.5714285714285714, 0.7204968944099379)","(0.33813509316770185, 0.4739767080745342)","(0.2919254658385093, 0.4409937888198758)",-0.15952454091350568,-0.31819076988119704,-0.011310164243479281
protenix-v2,0.8,5,iptm,"(0.1274215838509317, 0.23807686335403724)","(0.0877616459627329, 0.18074611801242238)","(0.08344565217391303, 0.17664596273291924)",-0.0864990945179542,-0.2683490428229237,0.10906922371067486
protenix-v2,0.8,5,ptm,"(0.1274215838509317, 0.23807686335403724)","(0.0877616459627329, 0.18074611801242238)","(0.08353959627329192, 0.17661490683229816)",-0.08266594614812349,-0.266845119107113,0.10896874799117166
protenix-v2,0.8,5,ranking_score,"(0.1274215838509317, 0.23807686335403724)","(0.0877616459627329, 0.18074611801242238)","(0.08409860248447204, 0.17742236024844718)",-0.06905303307042641,-0.25480903229858687,0.12660633840203833
protenix-v2,0.8,5,complex_plddt,"(0.1274215838509317, 0.23807686335403724)","(0.0877616459627329, 0.18074611801242238)","(0.09173835403726707, 0.18553571428571422)",0.08036252425516202,-0.14045873870989012,0.2706013043128457
protenix-v2,0.8,5,pdockq2,"(0.1274215838509317, 0.23807686335403724)","(0.0877616459627329, 0.18074611801242238)","(0.08999922360248447, 0.18276475155279504)",0.041230231502879584,-0.0806704734064952,0.15856780907307091
protenix-v2,0.8,5,ipsae,"(0.1274215838509317, 0.23807686335403724)","(0.0877616459627329, 0.18074611801242238)","(0.09204968944099379, 0.18965916149068326)",0.13030328383813738,-0.010378346634832407,0.27493878372641756
protenix-v2,0.8,5,anticonf,"(0.1274215838509317, 0.23807686335403724)","(0.0877616459627329, 0.18074611801242238)","(0.08732841614906832, 0.17903881987577638)",-0.022211280626402204,-0.15700821556947103,0.12588011714125494
protenix-v2,0.8,5,pss,"(0.1274215838509317, 0.23807686335403724)","(0.0877616459627329, 0.18074611801242238)","(0.09471972049689441, 0.19795263975155275)",0.25028802593510746,0.06349028400597923,0.43819244960998005
protenix-v2,0.8,5,deeprank_ab,"(0.1274215838509317, 0.23807686335403724)","(0.0877616459627329, 0.18074611801242238)","(0.08931677018633541, 0.18248524844720498)",0.03534048551505181,-0.11177125301129791,0.17707971851901494
protenix-v2,0.8,5,abag_rank,"(0.1274215838509317, 0.23807686335403724)","(0.0877616459627329, 0.18074611801242238)","(0.07807375776397515, 0.1685729813664596)",-0.22675373585072867,-0.36272494797674193,-0.0993620791158416
protenix-v2,0.8,50,iptm,"(0.18633540372670807, 0.3167701863354037)","(0.0867080745341615, 0.1794409937888199)","(0.07453416149068323, 0.18012422360248448)",-0.05408437710942883,-0.27599213469107403,0.1510439506329859
protenix-v2,0.8,50,ptm,"(0.18633540372670807, 0.3167701863354037)","(0.0867080745341615, 0.1794409937888199)","(0.07453416149068323, 0.17391304347826086)",-0.053517542289877124,-0.2888214513701168,0.17526023239008706
protenix-v2,0.8,50,ranking_score,"(0.18633540372670807, 0.3167701863354037)","(0.0867080745341615, 0.1794409937888199)","(0.07453416149068323, 0.18012422360248448)",-0.05316334916420597,-0.2899844821457983,0.17378173378173042
protenix-v2,0.8,50,complex_plddt,"(0.18633540372670807, 0.3167701863354037)","(0.0867080745341615, 0.1794409937888199)","(0.07453416149068323, 0.18012422360248448)",-0.05854942826933203,-0.3714447134786119,0.21149588741536332
protenix-v2,0.8,50,pdockq2,"(0.18633540372670807, 0.3167701863354037)","(0.0867080745341615, 0.1794409937888199)","(0.062111801242236024, 0.15527950310559005)",-0.21827993448929234,-0.555998585858804,0.05131692650675719
protenix-v2,0.8,50,ipsae,"(0.18633540372670807, 0.3167701863354037)","(0.0867080745341615, 0.1794409937888199)","(0.09304114906832298, 0.19854037267080746)",0.10877723628737718,-0.015381177605805886,0.2574913505080753
protenix-v2,0.8,50,anticonf,"(0.18633540372670807, 0.3167701863354037)","(0.0867080745341615, 0.1794409937888199)","(0.06832298136645963, 0.16770186335403728)",-0.10984619494934211,-0.4054868653896231,0.13420320740606784
protenix-v2,0.8,50,pss,"(0.18633540372670807, 0.3167701863354037)","(0.0867080745341615, 0.1794409937888199)","(0.09937888198757763, 0.20618012422360243)",0.1713486506834338,0.04628036709734811,0.33271418238608935
protenix-v2,0.8,50,deeprank_ab,"(0.18633540372670807, 0.3167701863354037)","(0.0867080745341615, 0.1794409937888199)","(0.09316770186335403, 0.19875776397515527)",0.1061551172453756,-0.08173618763774791,0.3147337944561951
