target,gen,mean_tm,sd_tm,pss,oracle50_dockq,failing
9lh2,boltz2,0.6681396881632653,0.07099232785778221,0.098352,0.09900030059746175,True
9lme,boltz2,0.8292035910204082,0.11890366037252073,,0.3221988403072695,False
9loe,boltz2,0.679865092244898,0.11543518661540213,0.099535,0.04912720252611491,True
9lof,boltz2,0.6807842971428572,0.1101718107028933,0.127579,0.18993573497137936,True
9log,boltz2,0.703283335510204,0.13718698200060817,0.209304,0.08834792746426146,True
9loz,boltz2,0.8327971844897959,0.18728553131304193,0.558475,0.8696601090053898,False
9lp1,boltz2,0.7408798367346938,0.1646464910553674,0.31073,0.8618745345376606,False
9lqw,boltz2,0.9916124285714285,0.002632641347330371,0.918817,0.8062094297097481,False
9lr1,boltz2,0.9910404187755103,0.0038687841623475396,0.904547,0.667409812578399,False
9lsy,boltz2,0.699016613877551,0.17827305941880936,0.315794,0.02084176446951747,True
9lsz,boltz2,0.827973824489796,0.09919139405820042,0.274823,0.022885525483293038,True
9lwc,boltz2,0.7871222857142857,0.11364269367766999,0.377855,0.07886116104600345,True
9lxp,boltz2,0.9784677714285714,0.01566792555150001,0.872156,0.7772357336014074,False
9ly2,boltz2,0.6946817020408164,0.12667885582841087,0.155143,,
9ly3,boltz2,0.7508381183673469,0.11478900183314455,0.159321,,
9ly5,boltz2,0.9186783151020408,0.05141259558764041,0.532802,0.2757440035867855,False
9ly6,boltz2,0.6358430612244899,0.1138540244113054,0.179473,0.009566538659636555,True
9lz0,boltz2,0.9873145412244898,0.007266078733748708,0.918605,0.8832664242888004,False
9lz1,boltz2,0.9873145412244898,0.007266078733748708,0.918605,0.8940925263997813,False
9lz2,boltz2,0.6918583951020408,0.15439979247379193,0.17743,,
9m0j,boltz2,0.8370261126530613,0.1387210754715697,0.472345,0.6738850569804002,False
9m0x,boltz2,0.644472373877551,0.14447969722705062,0.168624,0.7743467764541975,False
9m0z,boltz2,0.6351176065306122,0.11573815478605971,0.128647,0.7267807122894455,False
9m1p,boltz2,0.6351176065306122,0.11573815478605971,0.128647,0.7441752776645191,False
9m2o,boltz2,0.6488454840816327,0.13033228212301906,0.144988,0.7280350201810405,False
9m2s,boltz2,0.6351176065306122,0.11573815478605971,0.128647,0.7336608728491006,False
9m3q,boltz2,0.6351176065306122,0.11573815478605971,0.128647,0.7505636903922114,False
9m3s,boltz2,0.6368414032653061,0.13280778466302123,0.141664,0.7330384815083916,False
9m40,boltz2,0.9252186008163265,0.031049763047842783,0.626129,0.07028946763715284,True
9m72,boltz2,0.803040586122449,0.1280315591169142,0.298461,0.07190713212108163,True
9m8k,boltz2,0.7152085363265306,0.13533214299035895,0.266191,0.0425898694361479,True
9m8l,boltz2,0.6433788938775511,0.09392828352462647,0.104928,0.10712961838184966,True
9ma0,boltz2,0.7933561828571428,0.1200827870325558,0.273988,0.01132218757346258,True
9mmj,boltz2,0.9390526995918368,0.07181938832522987,0.733932,0.43575036098159114,False
9mnb,boltz2,0.9958781453061225,0.0026440219771440687,0.957261,0.8668007581140333,False
9mns,boltz2,0.7665949567346938,0.09536149391918383,0.133248,0.19448610104483197,True
9mnt,boltz2,0.8039092987755101,0.05369578596212486,0.112961,0.6208847657610962,False
9mnu,boltz2,0.8564938857142856,0.058911016855219184,0.253383,0.10868207501688187,True
