13:51:06  [pc:tt0]   diffusion 183/200
13:51:06  [pc:tt0]   diffusion 184/200
13:51:06  [pc:tt0]   diffusion 185/200
13:51:07  [pc:tt0]   diffusion 186/200
13:51:07  [pc:tt0]   diffusion 187/200
13:51:07  [pc:tt0]   diffusion 188/200
13:51:08  [pc:tt0]   diffusion 189/200
13:51:08  [pc:tt0]   diffusion 190/200
13:51:08  [pc:tt0]   diffusion 191/200
13:51:09  [pc:tt0]   diffusion 192/200
13:51:09  [pc:tt0]   diffusion 193/200
13:51:09  [pc:tt0]   diffusion 194/200
13:51:10  [pc:tt0]   diffusion 195/200
13:51:10  [pc:tt0]   diffusion 196/200
13:51:10  [pc:tt0]   diffusion 197/200
13:51:10  [pc:tt0]   diffusion 198/200
13:51:11  [pc:tt0]   diffusion 199/200
13:51:11  [pc:tt0]   confidence
13:51:28  [pc:tt0]   saving
13:51:28  [pc:tt0] ✓ 01_b78_tok658_bk672 — 268.3s
13:51:28  [pc:tt0] 02_b108_tok688_bk704
13:51:28  [pc:tt0]   prep
13:51:53  [pc:tt0]   trunk 0/10
13:52:41  [pc:tt0]   trunk 1/10
13:52:48  [pc:tt0]   trunk 2/10
13:52:55  [pc:tt0]   trunk 3/10
13:53:02  [pc:tt0]   trunk 4/10
13:53:09  [pc:tt0]   trunk 5/10
13:53:17  [pc:tt0]   trunk 6/10
13:53:24  [pc:tt0]   trunk 7/10
13:53:31  [pc:tt0]   trunk 8/10
13:53:38  [pc:tt0]   trunk 9/10
13:53:53  [pc:tt0]   diffusion 0/200
13:54:18  [pc:tt0]   diffusion 1/200
13:54:19  [pc:tt0]   diffusion 2/200
13:54:19  [pc:tt0]   diffusion 3/200
13:54:19  [pc:tt0]   diffusion 4/200
13:54:20  [pc:tt0]   diffusion 5/200
13:54:20  [pc:tt0]   diffusion 6/200
13:54:21  [pc:tt0]   diffusion 7/200
13:54:21  [pc:tt0]   diffusion 8/200
13:54:22  [pc:tt0]   diffusion 9/200
13:54:22  [pc:tt0]   diffusion 10/200
13:54:24  [pc:tt0]   diffusion 11/200
13:54:24  [pc:tt0]   diffusion 12/200
13:54:25  [pc:tt0]   diffusion 13/200
13:54:25  [pc:tt0]   diffusion 14/200
13:54:25  [pc:tt0]   diffusion 15/200
13:54:26  [pc:tt0]   diffusion 16/200
13:54:26  [pc:tt0]   diffusion 17/200
13:54:27  [pc:tt0]   diffusion 18/200
13:54:27  [pc:tt0]   diffusion 19/200
13:54:27  [pc:tt0]   diffusion 20/200
13:54:28  [pc:tt0]   diffusion 21/200
13:54:28  [pc:tt0]   diffusion 22/200
13:54:29  [pc:tt0]   diffusion 23/200
13:54:30  [pc:tt0]   diffusion 24/200
13:54:32  [pc:tt0]   diffusion 25/200
13:54:33  [pc:tt0]   diffusion 26/200
13:54:34  [pc:tt0]   diffusion 27/200
