[release-gate] granted card(s) [3]
[release-gate] scoring tt_bio from /home/ttuser/.coworker/wt/land-standing/tt_bio (commit 064e5ad5a)

======================================================================
[esmfold2-fast] folding prot.yaml (200 steps, 5 samples)
======================================================================
05:15:22  [tt-quietbox2:tt3] loading model…
05:15:50  [tt-quietbox2:tt3] prot
05:16:07  [tt-quietbox2:tt3]   diffusion 66/134
05:16:07  [tt-quietbox2:tt3]   diffusion 67/134
05:16:07  [tt-quietbox2:tt3]   diffusion 68/134
05:16:07  [tt-quietbox2:tt3]   diffusion 69/134
05:16:07  [tt-quietbox2:tt3]   diffusion 70/134
05:16:07  [tt-quietbox2:tt3]   diffusion 71/134
05:16:07  [tt-quietbox2:tt3]   diffusion 72/134
05:16:07  [tt-quietbox2:tt3]   diffusion 73/134
05:16:07  [tt-quietbox2:tt3]   diffusion 74/134
05:16:08  [tt-quietbox2:tt3]   diffusion 75/134
05:16:08  [tt-quietbox2:tt3]   diffusion 76/134
05:16:08  [tt-quietbox2:tt3]   diffusion 77/134
05:16:08  [tt-quietbox2:tt3]   diffusion 78/134
05:16:08  [tt-quietbox2:tt3]   diffusion 79/134
05:16:08  [tt-quietbox2:tt3]   diffusion 80/134
05:16:08  [tt-quietbox2:tt3]   diffusion 81/134
05:16:08  [tt-quietbox2:tt3]   diffusion 82/134
05:16:08  [tt-quietbox2:tt3]   diffusion 83/134
05:16:08  [tt-quietbox2:tt3]   diffusion 84/134
05:16:08  [tt-quietbox2:tt3]   diffusion 85/134
05:16:08  [tt-quietbox2:tt3]   diffusion 86/134
05:16:08  [tt-quietbox2:tt3]   diffusion 87/134
05:16:08  [tt-quietbox2:tt3]   diffusion 88/134
05:16:09  [tt-quietbox2:tt3]   diffusion 89/134
05:16:09  [tt-quietbox2:tt3]   diffusion 90/134
05:16:09  [tt-quietbox2:tt3]   diffusion 91/134
05:16:09  [tt-quietbox2:tt3]   diffusion 92/134
05:16:09  [tt-quietbox2:tt3]   diffusion 93/134
05:16:09  [tt-quietbox2:tt3]   diffusion 94/134
05:16:09  [tt-quietbox2:tt3]   diffusion 95/134
05:16:09  [tt-quietbox2:tt3]   diffusion 96/134
05:16:09  [tt-quietbox2:tt3]   diffusion 97/134
05:16:09  [tt-quietbox2:tt3]   diffusion 98/134
05:16:09  [tt-quietbox2:tt3]   diffusion 99/134
05:16:09  [tt-quietbox2:tt3]   diffusion 100/134
05:16:09  [tt-quietbox2:tt3]   diffusion 101/134
05:16:10  [tt-quietbox2:tt3]   diffusion 102/134
05:16:10  [tt-quietbox2:tt3]   diffusion 103/134
05:16:10  [tt-quietbox2:tt3]   diffusion 104/134
05:16:10  [tt-quietbox2:tt3]   diffusion 105/134
05:16:10  [tt-quietbox2:tt3]   diffusion 106/134
05:16:10  [tt-quietbox2:tt3]   diffusion 107/134
05:16:10  [tt-quietbox2:tt3]   diffusion 108/134
05:16:10  [tt-quietbox2:tt3]   diffusion 109/134
