12:45:55 0, 1980 MHz, 3201 MHz, 9 %, 57, 398.29 W
12:46:00 0, 1980 MHz, 3201 MHz, 99 %, 58, 517.28 W
12:46:05 0, 1980 MHz, 3201 MHz, 100 %, 58, 521.33 W
12:46:10 0, 1980 MHz, 3201 MHz, 100 %, 54, 519.42 W
12:46:15 0, 1980 MHz, 3201 MHz, 99 %, 52, 504.63 W
12:46:20 0, 1980 MHz, 3201 MHz, 99 %, 50, 511.92 W
12:46:25 0, 1980 MHz, 3201 MHz, 100 %, 49, 515.44 W
12:46:30 0, 1980 MHz, 3201 MHz, 100 %, 49, 511.75 W
12:46:35 0, 1980 MHz, 3201 MHz, 100 %, 50, 495.49 W
12:46:40 0, 1980 MHz, 3201 MHz, 99 %, 51, 517.10 W
12:46:45 0, 1980 MHz, 3201 MHz, 100 %, 53, 509.76 W
12:46:50 0, 1980 MHz, 3201 MHz, 100 %, 54, 519.63 W
12:46:55 0, 1980 MHz, 3201 MHz, 100 %, 55, 515.80 W
12:47:00 0, 1980 MHz, 3201 MHz, 100 %, 56, 522.12 W
12:47:06 0, 1980 MHz, 3201 MHz, 100 %, 57, 518.15 W
12:47:11 0, 1980 MHz, 3201 MHz, 100 %, 55, 495.18 W
12:47:16 0, 1980 MHz, 3201 MHz, 100 %, 54, 502.13 W
12:47:21 0, 1980 MHz, 3201 MHz, 67 %, 57, 499.91 W
12:47:26 0, 1980 MHz, 3201 MHz, 99 %, 58, 491.08 W
12:47:31 0, 1980 MHz, 3201 MHz, 76 %, 54, 401.30 W
12:47:36 0, 1980 MHz, 3201 MHz, 78 %, 56, 395.32 W
12:47:41 0, 1980 MHz, 3201 MHz, 100 %, 55, 285.08 W
12:47:46 0, 1980 MHz, 3201 MHz, 100 %, 56, 332.07 W
12:47:51 0, 1980 MHz, 3201 MHz, 100 %, 54, 394.88 W
