TTPROF rank_pid=2752495 stages=51 denominator=oneParticle
TTPROF region                                        cpu-seconds        calls  %onePart
TTPROF Diff2CALL                                         23.8163         1116     3.25%
TTPROF collect_data_1                                     0.0006         1116     0.00%
TTPROF convertAllSquaredDifferencesToWeightsFine          0.0192         1116     0.00%
TTPROF storeWeightedSums                                 24.5577         1116     3.35%
TTPROF store_init                                         0.0862         1116     0.01%
TTPROF collect_data_2                                     0.0246         1116     0.00%
TTPROF collect_data_2_pre_kernel                          0.0040         1116     0.00%
TTPROF collect_data_2_post_kernel                         0.0004         1116     0.00%
TTPROF setMetadata                                        0.0143         1116     0.00%
TTPROF maximization                                      24.1824         1116     3.30%
TTPROF translation_3                                      0.1403         1116     0.02%
TTPROF thisClassProjectionSetupCoarse                     0.0008         1116     0.00%
TTPROF generateEulerMatricesProjector                     0.0075         1116     0.00%
TTPROF pre_wavg_map                                       0.0006         1116     0.00%
TTPROF backproject                                       10.4804         1116     1.43%
TTPROF store_post_gpu                                     0.2593         1116     0.04%
