TTPROF rank_pid=2755623 stages=51 denominator=oneParticle
TTPROF region                                        cpu-seconds        calls  %onePart
TTPROF translation_3                                      0.1170         1116     0.02%
TTPROF thisClassProjectionSetupCoarse                     0.0009         1116     0.00%
TTPROF generateEulerMatricesProjector                     0.0073         1116     0.00%
TTPROF pre_wavg_map                                       0.0006         1116     0.00%
TTPROF backproject                                       10.5817         1116     1.45%
TTPROF store_post_gpu                                     0.2579         1116     0.04%
TTPROF rank_pid=2755624 stages=51 denominator=oneParticle
TTPROF region                                        cpu-seconds        calls  %onePart
TTPROF oneParticle                                      743.1439         1116   100.00%
TTPROF getFourierTransformsAndCtfs                       19.5067         1116     2.62%
TTPROF nonZeroProb                                       14.0770         1116     1.89%
TTPROF readData                                           0.0390         1116     0.01%
TTPROF ParaReadPrereadImages                              0.0371         1116     0.00%
TTPROF init                                               0.0000            0     0.00%
TTPROF makeNoiseMask                                      0.1600         1116     0.02%
TTPROF HelicalPrep                                        0.0000            0     0.00%
TTPROF TranslateAndNormCorrect                            0.8193         1116     0.11%
TTPROF normalizeAndTransform_recImg                       0.9131         1116     0.12%
TTPROF selfApplyBeamTilt                                  0.0010         2232     0.00%
TTPROF applyMask                                          1.2012         1116     0.16%
TTPROF normalizeAndTransform                              0.8852         1116     0.12%
TTPROF powerClass                                         0.3409         1116     0.05%
TTPROF CTFRead2D                                          0.8572         1116     0.12%
TTPROF weightPass                                       698.9736         2232    94.06%
TTPROF getAllSquaredDifferencesCoarse                   675.3884         1116    90.88%
TTPROF diff_pre_gpu                                       0.2192         2232     0.03%
TTPROF generateProjectionSetupCoarse                      0.0368         1116     0.00%
TTPROF translation_1                                      0.1150         1116     0.02%
TTPROF convertAllSquaredDifferencesToWeightsCoarse         0.1005         1116     0.01%
TTPROF get_orient_priors                                  0.0105         2232     0.00%
TTPROF get_offset_priors                                  0.0017         2232     0.00%
TTPROF sumweight1                                         0.0954         2232     0.01%
TTPROF sort                                               0.0652         2232     0.01%
TTPROF getArgMaxOnDevice                                  0.0030         2232     0.00%
TTPROF generateProjectionSetup                            0.0257         1116     0.00%
TTPROF getAllSquaredDifferencesFine                      23.4311         1116     3.15%
TTPROF precalculateShiftedImagesCtfsAndInvSigma2s         0.0525         1116     0.01%
TTPROF translation_2                                      0.1166         1116     0.02%
TTPROF kernel_init_1                                      0.0234         1116     0.00%
TTPROF pair_list_1                                        0.0061         1116     0.00%
TTPROF IndexedArrayMemCp2                                 0.0001         1116     0.00%
TTPROF generateEulerMatrices                              0.0089         1116     0.00%
TTPROF Diff2MakeKernel                                    0.0009         1116     0.00%
TTPROF Diff2CALL                                         23.1861         1116     3.12%
TTPROF collect_data_1                                     0.0007         1116     0.00%
TTPROF convertAllSquaredDifferencesToWeightsFine          0.0189         1116     0.00%
TTPROF storeWeightedSums                                 24.6484         1116     3.32%
TTPROF store_init                                         0.0767         1116     0.01%
TTPROF collect_data_2                                     0.0247         1116     0.00%
TTPROF collect_data_2_pre_kernel                          0.0042         1116     0.00%
TTPROF collect_data_2_post_kernel                         0.0005         1116     0.00%
TTPROF setMetadata                                        0.0142         1116     0.00%
TTPROF maximization                                      24.2719         1116     3.27%
TTPROF translation_3                                      0.1206         1116     0.02%
TTPROF thisClassProjectionSetupCoarse                     0.0009         1116     0.00%
TTPROF generateEulerMatricesProjector                     0.0073         1116     0.00%
TTPROF pre_wavg_map                                       0.0006         1116     0.00%
TTPROF backproject                                       10.6611         1116     1.43%
TTPROF store_post_gpu                                     0.2697         1116     0.04%
