utc,sm_mhz,sm_max_mhz,mem_mhz,power_w,power_limit_w,temp_c,util_pct,throttle,n_apps,apps_mem_mib
2026-09-18T19:53:44Z,1410,1410,1593,83.36,400.00,29,17,0,1,21190
2026-09-18T19:53:49Z,1410,1410,1593,83.89,400.00,29,61,0,1,21190
2026-09-18T19:53:54Z,1410,1410,1593,83.16,400.00,28,0,0,1,21190
2026-09-18T19:53:59Z,1410,1410,1593,228.66,400.00,30,64,0,1,21190
2026-09-18T19:54:04Z,1410,1410,1593,271.73,400.00,30,6,0,1,21190
2026-09-18T19:54:09Z,1410,1410,1593,98.57,400.00,28,1,0,1,21190
2026-09-18T19:54:15Z,1410,1410,1593,84.72,400.00,29,16,0,1,21190
2026-09-18T19:54:20Z,1410,1410,1593,203.44,400.00,30,55,0,1,21190
2026-09-18T19:54:25Z,1410,1410,1593,122.72,400.00,30,58,0,1,21190
2026-09-18T19:54:30Z,1410,1410,1593,82.91,400.00,29,0,0,1,21190
2026-09-18T19:54:35Z,1410,1410,1593,175.57,400.00,30,63,0,1,21190
2026-09-18T19:54:40Z,1410,1410,1593,144.50,400.00,30,64,0,1,21190
2026-09-18T19:54:45Z,1410,1410,1593,118.93,400.00,30,60,0,1,21190
2026-09-18T19:54:50Z,1410,1410,1593,135.72,400.00,30,67,0,1,21190
2026-09-18T19:54:56Z,1410,1410,1593,168.32,400.00,30,30,0,1,21190
2026-09-18T19:55:01Z,1410,1410,1593,86.86,400.00,28,5,0,1,21190
2026-09-18T19:55:06Z,1410,1410,1593,142.03,400.00,29,56,0,1,21190
2026-09-18T19:55:11Z,1410,1410,1593,179.93,400.00,31,73,0,1,21190
2026-09-18T19:55:16Z,1410,1410,1593,82.87,400.00,28,0,0,1,21190
2026-09-18T19:55:21Z,1410,1410,1593,82.72,400.00,29,0,0,1,21190
2026-09-18T19:55:26Z,1410,1410,1593,83.79,400.00,29,0,0,1,21190
2026-09-18T19:55:32Z,1410,1410,1593,82.96,400.00,29,25,0,1,21190
2026-09-18T19:55:37Z,1410,1410,1593,82.96,400.00,28,0,0,1,21190
2026-09-18T19:55:42Z,1410,1410,1593,82.96,400.00,29,17,0,1,21190
2026-09-18T19:55:47Z,1410,1410,1593,111.47,400.00,29,55,0,1,21190
2026-09-18T19:55:52Z,1410,1410,1593,217.28,400.00,30,69,0,1,21190
2026-09-18T19:55:57Z,1410,1410,1593,284.97,400.00,31,12,0,1,21190
2026-09-18T19:56:02Z,1410,1410,1593,83.16,400.00,28,0,0,1,21190
2026-09-18T19:56:07Z,1410,1410,1593,135.36,400.00,30,65,0,1,21190
2026-09-18T19:56:13Z,1410,1410,1593,152.49,400.00,30,70,0,1,21190
2026-09-18T19:56:18Z,1410,1410,1593,83.01,400.00,29,17,0,1,21190
2026-09-18T19:56:23Z,1410,1410,1593,179.48,400.00,30,22,0,1,21190
2026-09-18T19:56:28Z,1410,1410,1593,288.07,400.00,31,39,0,1,21190
2026-09-18T19:56:33Z,1410,1410,1593,122.07,400.00,31,15,0,1,21190
2026-09-18T19:56:38Z,1410,1410,1593,83.01,400.00,28,0,0,1,21190
2026-09-18T19:56:43Z,1410,1410,1593,83.06,400.00,29,26,0,1,21190
2026-09-18T19:56:48Z,1410,1410,1593,156.41,400.00,30,56,0,1,21190
2026-09-18T19:56:54Z,1410,1410,1593,293.23,400.00,31,8,0,1,21190
2026-09-18T19:56:59Z,1410,1410,1593,84.82,400.00,29,43,0,1,21190
2026-09-18T19:57:04Z,1410,1410,1593,197.59,400.00,30,54,0,1,21190
2026-09-18T19:57:09Z,1410,1410,1593,83.35,400.00,30,5,0,1,21192
2026-09-18T19:57:14Z,1410,1410,1593,83.46,400.00,29,0,0,1,21192
2026-09-18T19:57:19Z,1410,1410,1593,83.06,400.00,29,34,0,1,21192
2026-09-18T19:57:24Z,1410,1410,1593,143.80,400.00,30,64,0,1,21192
2026-09-18T19:57:30Z,1410,1410,1593,82.82,400.00,28,0,0,1,21192
2026-09-18T19:57:35Z,1410,1410,1593,83.16,400.00,29,32,0,1,21192
2026-09-18T19:57:40Z,1410,1410,1593,178.41,400.00,30,59,0,1,21192
2026-09-18T19:57:45Z,1410,1410,1593,211.82,400.00,30,58,0,1,21192
2026-09-18T19:57:50Z,1410,1410,1593,83.25,400.00,29,61,0,1,21192
2026-09-18T19:57:55Z,1410,1410,1593,83.25,400.00,29,33,0,1,21192
2026-09-18T19:58:00Z,1410,1410,1593,83.25,400.00,29,0,0,1,21192
2026-09-18T19:58:06Z,1410,1410,1593,84.52,400.00,29,34,0,1,21192
2026-09-18T19:58:11Z,1410,1410,1593,83.75,400.00,29,42,0,1,21192
2026-09-18T19:58:16Z,1410,1410,1593,295.81,400.00,31,5,0,1,21192
2026-09-18T19:58:21Z,1410,1410,1593,83.16,400.00,29,0,0,1,21192
2026-09-18T19:58:26Z,1410,1410,1593,83.16,400.00,29,10,0,1,21192
2026-09-18T19:58:31Z,1410,1410,1593,83.99,400.00,30,58,0,1,21192
2026-09-18T19:58:36Z,1410,1410,1593,115.24,400.00,31,67,0,1,21192
2026-09-18T19:58:42Z,1410,1410,1593,82.87,400.00,29,2,0,1,21192
2026-09-18T19:58:47Z,1410,1410,1593,211.29,400.00,30,66,0,1,21192
2026-09-18T19:58:52Z,1410,1410,1593,83.45,400.00,29,0,0,1,21192
2026-09-18T19:58:57Z,1410,1410,1593,83.16,400.00,29,55,0,1,21192
2026-09-18T19:59:02Z,1410,1410,1593,88.99,400.00,30,58,0,1,21192
2026-09-18T19:59:07Z,1410,1410,1593,281.71,400.00,31,28,0,1,21192
2026-09-18T19:59:12Z,1410,1410,1593,83.25,400.00,29,0,0,1,21192
2026-09-18T19:59:18Z,1410,1410,1593,83.99,400.00,29,8,0,1,21192
2026-09-18T19:59:23Z,1410,1410,1593,122.86,400.00,31,71,0,1,21192
2026-09-18T19:59:28Z,1410,1410,1593,133.73,400.00,31,67,0,1,21192
2026-09-18T19:59:33Z,1410,1410,1593,83.01,400.00,29,0,0,1,21192
2026-09-18T19:59:38Z,1410,1410,1593,83.06,400.00,29,0,0,1,21192
2026-09-18T19:59:43Z,1410,1410,1593,83.35,400.00,30,6,0,1,21192
2026-09-18T19:59:48Z,1410,1410,1593,88.96,400.00,31,56,0,1,21192
2026-09-18T19:59:53Z,1410,1410,1593,156.94,400.00,31,58,0,1,21192
2026-09-18T19:59:58Z,1410,1410,1593,83.06,400.00,29,0,0,1,21192
2026-09-18T20:00:04Z,1410,1410,1593,147.59,400.00,32,70,0,1,21192
2026-09-18T20:00:09Z,1410,1410,1593,177.50,400.00,32,69,0,1,24560
2026-09-18T20:00:14Z,1410,1410,1593,83.46,400.00,31,1,0,1,24560
2026-09-18T20:00:19Z,1410,1410,1593,83.06,400.00,30,0,0,1,24560
2026-09-18T20:00:24Z,1410,1410,1593,83.46,400.00,30,0,0,1,24560
2026-09-18T20:00:29Z,1410,1410,1593,88.56,400.00,30,32,0,1,24560
2026-09-18T20:00:34Z,1410,1410,1593,123.65,400.00,31,69,0,1,24560
2026-09-18T20:00:39Z,1410,1410,1593,121.61,400.00,32,59,0,1,24560
2026-09-18T20:00:45Z,1410,1410,1593,131.38,400.00,30,55,0,1,24560
2026-09-18T20:00:50Z,1410,1410,1593,211.42,400.00,32,11,0,1,24560
2026-09-18T20:00:55Z,1410,1410,1593,292.31,400.00,32,0,0,1,24560
2026-09-18T20:01:00Z,1410,1410,1593,159.10,400.00,32,62,0,1,24560
2026-09-18T20:01:05Z,1410,1410,1593,187.81,400.00,32,0,0,1,24560
2026-09-18T20:01:10Z,1410,1410,1593,84.53,400.00,29,0,0,1,24560
2026-09-18T20:01:15Z,1410,1410,1593,155.34,400.00,32,67,0,1,24560
2026-09-18T20:01:21Z,1410,1410,1593,83.70,400.00,30,36,0,1,24560
2026-09-18T20:01:26Z,1410,1410,1593,83.55,400.00,30,5,0,1,24560
2026-09-18T20:01:31Z,1410,1410,1593,175.44,400.00,32,49,0,1,24560
2026-09-18T20:01:36Z,1410,1410,1593,83.55,400.00,30,5,0,1,24560
2026-09-18T20:01:41Z,1410,1410,1593,83.50,400.00,30,0,0,1,24560
2026-09-18T20:01:46Z,1410,1410,1593,85.49,400.00,30,11,0,1,24560
2026-09-18T20:01:51Z,1410,1410,1593,83.70,400.00,30,0,0,1,24560
2026-09-18T20:01:57Z,1410,1410,1593,83.70,400.00,31,27,0,1,24560
2026-09-18T20:02:02Z,1410,1410,1593,83.26,400.00,30,0,0,1,24560
2026-09-18T20:02:07Z,1410,1410,1593,83.36,400.00,30,19,0,1,24560
2026-09-18T20:02:12Z,1410,1410,1593,83.65,400.00,31,32,0,1,24560
2026-09-18T20:02:17Z,1410,1410,1593,204.80,400.00,33,29,0,1,24560
2026-09-18T20:02:22Z,1410,1410,1593,83.55,400.00,30,0,0,1,24560
2026-09-18T20:02:27Z,1410,1410,1593,180.35,400.00,32,36,0,1,24560
2026-09-18T20:02:33Z,1410,1410,1593,185.84,400.00,32,6,0,1,24560
2026-09-18T20:02:38Z,1410,1410,1593,83.99,400.00,30,0,0,1,24560
2026-09-18T20:02:43Z,1410,1410,1593,84.04,400.00,31,35,0,1,24560
2026-09-18T20:02:48Z,1410,1410,1593,84.33,400.00,31,0,0,1,24560
2026-09-18T20:02:53Z,1410,1410,1593,83.46,400.00,30,0,0,1,24560
2026-09-18T20:02:58Z,1410,1410,1593,292.45,400.00,33,22,0,1,24560
2026-09-18T20:03:03Z,1410,1410,1593,83.79,400.00,31,2,0,1,24560
2026-09-18T20:03:08Z,1410,1410,1593,83.50,400.00,31,2,0,1,24560
2026-09-18T20:03:14Z,1410,1410,1593,84.04,400.00,31,22,0,1,24560
2026-09-18T20:03:19Z,1410,1410,1593,84.18,400.00,31,72,0,1,24560
2026-09-18T20:03:24Z,1410,1410,1593,83.70,400.00,31,0,0,1,24560
2026-09-18T20:03:29Z,1410,1410,1593,84.53,400.00,32,74,0,1,24560
2026-09-18T20:03:34Z,1410,1410,1593,140.21,400.00,33,54,0,1,24560
2026-09-18T20:03:39Z,1410,1410,1593,281.18,400.00,33,52,0,1,24560
2026-09-18T20:03:44Z,1410,1410,1593,86.72,400.00,32,73,0,1,24560
2026-09-18T20:03:50Z,1410,1410,1593,84.52,400.00,31,25,0,1,24560
2026-09-18T20:03:55Z,1410,1410,1593,84.28,400.00,31,0,0,1,24560
2026-09-18T20:04:00Z,1410,1410,1593,172.95,400.00,32,58,0,1,24560
2026-09-18T20:04:05Z,1410,1410,1593,156.12,400.00,32,52,0,1,24560
2026-09-18T20:04:10Z,1410,1410,1593,265.80,400.00,33,22,0,1,24560
2026-09-18T20:04:15Z,1410,1410,1593,83.89,400.00,31,0,0,1,24560
2026-09-18T20:04:20Z,1410,1410,1593,84.28,400.00,32,62,0,1,24560
2026-09-18T20:04:26Z,1410,1410,1593,122.86,400.00,33,65,0,1,24560
2026-09-18T20:04:31Z,1410,1410,1593,84.91,400.00,32,65,0,1,24560
2026-09-18T20:04:36Z,1410,1410,1593,84.77,400.00,30,69,0,0,
2026-09-18T20:04:41Z,210,1410,1593,60.92,400.00,28,0,1,0,
2026-09-18T20:04:46Z,210,1410,1593,60.92,400.00,27,0,1,0,
2026-09-18T20:04:52Z,210,1410,1593,60.75,400.00,27,0,1,0,
2026-09-18T20:04:57Z,210,1410,1593,60.60,400.00,26,0,1,0,
2026-09-18T20:05:02Z,210,1410,1593,60.68,400.00,26,0,1,0,
2026-09-18T20:05:07Z,210,1410,1593,60.39,400.00,26,0,1,0,
2026-09-18T20:05:12Z,210,1410,1593,60.39,400.00,25,0,1,0,
2026-09-18T20:05:18Z,210,1410,1593,60.14,400.00,25,0,1,0,
2026-09-18T20:05:23Z,210,1410,1593,60.14,400.00,25,0,1,0,
2026-09-18T20:05:28Z,210,1410,1593,60.21,400.00,25,0,1,0,
2026-09-18T20:05:33Z,210,1410,1593,60.14,400.00,25,0,1,0,
2026-09-18T20:05:38Z,210,1410,1593,60.68,400.00,24,0,1,0,
2026-09-18T20:05:43Z,210,1410,1593,60.53,400.00,24,0,1,0,
2026-09-18T20:05:49Z,210,1410,1593,60.53,400.00,24,0,1,0,
2026-09-18T20:05:54Z,210,1410,1593,60.28,400.00,24,0,1,0,
2026-09-18T20:05:59Z,210,1410,1593,60.18,400.00,24,0,1,0,
2026-09-18T20:06:04Z,210,1410,1593,60.32,400.00,24,0,1,0,
2026-09-18T20:06:09Z,210,1410,1593,60.39,400.00,24,0,1,0,
2026-09-18T20:06:15Z,210,1410,1593,60.14,400.00,24,0,1,0,
2026-09-18T20:06:20Z,210,1410,1593,60.21,400.00,24,0,1,0,
2026-09-18T20:06:25Z,210,1410,1593,60.14,400.00,24,0,1,0,
