utc,sm_mhz,sm_max_mhz,mem_mhz,power_w,power_limit_w,temp_c,util_pct,throttle,n_apps,apps_mem_mib
2026-09-18T20:47:06Z,1275,1410,1593,71.77,400.00,23,0,0,1,21200
2026-09-18T20:47:11Z,1275,1410,1593,71.94,400.00,23,0,0,1,21200
2026-09-18T20:47:16Z,1275,1410,1593,71.70,400.00,23,0,0,1,21200
2026-09-18T20:47:21Z,1410,1410,1593,81.74,400.00,23,0,0,1,682
2026-09-18T20:47:26Z,1275,1410,1593,73.21,400.00,23,0,0,1,682
2026-09-18T20:47:32Z,1275,1410,1593,71.86,400.00,23,0,0,1,682
2026-09-18T20:47:37Z,1275,1410,1593,71.70,400.00,23,0,0,1,682
2026-09-18T20:47:42Z,1275,1410,1593,71.41,400.00,23,0,0,1,682
2026-09-18T20:47:47Z,1275,1410,1593,71.70,400.00,23,0,0,1,682
2026-09-18T20:47:52Z,1275,1410,1593,71.41,400.00,23,0,0,1,682
2026-09-18T20:47:57Z,1275,1410,1593,71.41,400.00,23,0,0,1,682
2026-09-18T20:48:02Z,1275,1410,1593,72.23,400.00,23,0,0,1,682
2026-09-18T20:48:07Z,1275,1410,1593,71.70,400.00,23,0,0,1,682
2026-09-18T20:48:12Z,1275,1410,1593,71.70,400.00,23,0,0,1,682
2026-09-18T20:48:18Z,1275,1410,1593,71.61,400.00,22,0,0,1,682
2026-09-18T20:48:23Z,1275,1410,1593,71.70,400.00,22,0,0,1,682
2026-09-18T20:48:28Z,1275,1410,1593,71.70,400.00,22,0,0,1,682
2026-09-18T20:48:33Z,1275,1410,1593,72.11,400.00,22,0,0,1,682
2026-09-18T20:48:38Z,1275,1410,1593,71.86,400.00,22,0,0,1,682
2026-09-18T20:48:43Z,1275,1410,1593,71.57,400.00,22,0,0,1,682
2026-09-18T20:48:48Z,1275,1410,1593,71.57,400.00,22,0,0,1,682
2026-09-18T20:48:53Z,1275,1410,1593,71.70,400.00,22,0,0,1,682
2026-09-18T20:48:58Z,1275,1410,1593,71.57,400.00,22,0,0,1,682
2026-09-18T20:49:04Z,1275,1410,1593,71.94,400.00,22,0,0,1,682
2026-09-18T20:49:09Z,1275,1410,1593,71.86,400.00,22,0,0,1,682
2026-09-18T20:49:14Z,1305,1410,1593,74.55,400.00,22,0,1,0,
2026-09-18T20:49:19Z,1275,1410,1593,71.57,400.00,22,0,0,1,716
2026-09-18T20:49:25Z,1275,1410,1593,71.86,400.00,23,0,0,1,11562
2026-09-18T20:49:30Z,1275,1410,1593,72.40,400.00,23,0,0,1,11580
2026-09-18T20:49:36Z,1275,1410,1593,71.86,400.00,23,0,0,1,14716
2026-09-18T20:49:41Z,1410,1410,1593,81.45,400.00,23,0,0,1,14716
2026-09-18T20:49:47Z,1275,1410,1593,71.57,400.00,23,0,0,1,14716
2026-09-18T20:49:53Z,1410,1410,1593,81.55,400.00,24,0,0,1,14748
2026-09-18T20:49:58Z,1410,1410,1593,113.63,400.00,26,62,0,1,17968
2026-09-18T20:50:03Z,1275,1410,1593,71.86,400.00,23,0,0,1,17968
2026-09-18T20:50:09Z,1275,1410,1593,71.86,400.00,23,0,0,1,17968
2026-09-18T20:50:14Z,1275,1410,1593,72.64,400.00,23,0,0,1,17968
2026-09-18T20:50:20Z,1275,1410,1593,71.86,400.00,23,0,0,1,17968
2026-09-18T20:50:25Z,1275,1410,1593,71.86,400.00,24,28,0,1,17968
2026-09-18T20:50:30Z,1410,1410,1593,112.70,400.00,25,73,0,1,17968
2026-09-18T20:50:35Z,1410,1410,1593,142.40,400.00,25,59,0,1,17970
2026-09-18T20:50:40Z,1275,1410,1593,180.63,400.00,25,6,0,1,17970
2026-09-18T20:50:46Z,1275,1410,1593,72.11,400.00,23,0,0,1,17970
2026-09-18T20:50:51Z,1275,1410,1593,73.18,400.00,23,0,0,1,17972
2026-09-18T20:50:57Z,1275,1410,1593,71.61,400.00,23,0,0,1,17972
2026-09-18T20:51:02Z,1275,1410,1593,71.86,400.00,23,0,0,1,17972
2026-09-18T20:51:08Z,1275,1410,1593,73.01,400.00,23,0,0,1,17972
2026-09-18T20:51:13Z,1275,1410,1593,71.86,400.00,24,0,0,1,17972
2026-09-18T20:51:19Z,1275,1410,1593,72.40,400.00,25,0,0,1,21260
2026-09-18T20:51:24Z,1410,1410,1593,144.64,400.00,26,67,0,1,21260
2026-09-18T20:51:29Z,1410,1410,1593,179.24,400.00,26,72,0,1,21260
2026-09-18T20:51:34Z,1410,1410,1593,117.97,400.00,26,64,0,1,21260
2026-09-18T20:51:40Z,1410,1410,1593,81.64,400.00,24,0,0,1,21260
2026-09-18T20:51:46Z,1275,1410,1593,72.11,400.00,24,0,0,1,21260
2026-09-18T20:51:51Z,1275,1410,1593,218.90,400.00,26,38,0,1,21260
